Mobile_Device,bootstrap_sample_mean
iPhone 17 Pro Max,94.3192
iPhone 17 Pro Max,95.0272
iPhone 17 Pro Max,94.3256
iPhone 17 Pro Max,94.0839
iPhone 17 Pro Max,94.2872
iPhone 17 Pro Max,94.7674
iPhone 17 Pro Max,93.8664
iPhone 17 Pro Max,93.9215
iPhone 17 Pro Max,94.8684
iPhone 17 Pro Max,93.6908
iPhone 17 Pro Max,91.9941
iPhone 17 Pro Max,93.3138
iPhone 17 Pro Max,95.6116
iPhone 17 Pro Max,93.1122
iPhone 17 Pro Max,94.6018
iPhone 17 Pro Max,93.8005
iPhone 17 Pro Max,95.2022
iPhone 17 Pro Max,94.356
iPhone 17 Pro Max,93.7852
iPhone 17 Pro Max,93.4162
iPhone 17 Pro Max,95.1725
iPhone 17 Pro Max,93.2518
iPhone 17 Pro Max,96.2086
iPhone 17 Pro Max,93.7454
iPhone 17 Pro Max,94.7251
iPhone 17 Pro Max,93.4997
iPhone 17 Pro Max,93.8153
iPhone 17 Pro Max,95.4353
iPhone 17 Pro Max,93.2064
iPhone 17 Pro Max,95.4275
iPhone 17 Pro Max,93.4874
iPhone 17 Pro Max,93.0672
iPhone 17 Pro Max,94.4319
iPhone 17 Pro Max,96.0996
iPhone 17 Pro Max,92.0576
iPhone 17 Pro Max,92.8663
iPhone 17 Pro Max,93.3522
iPhone 17 Pro Max,92.5976
iPhone 17 Pro Max,95.4048
iPhone 17 Pro Max,93.8989
iPhone 17 Pro Max,93.4142
iPhone 17 Pro Max,95.5004
iPhone 17 Pro Max,94.5118
iPhone 17 Pro Max,93.9072
iPhone 17 Pro Max,93.5461
iPhone 17 Pro Max,94.4986
iPhone 17 Pro Max,94.1696
iPhone 17 Pro Max,95.5344
iPhone 17 Pro Max,95.1698
iPhone 17 Pro Max,94.0184
iPhone 17 Pro Max,93.5808
iPhone 17 Pro Max,94.8635
iPhone 17 Pro Max,93.3366
iPhone 17 Pro Max,95.2357
iPhone 17 Pro Max,93.3069
iPhone 17 Pro Max,93.56
iPhone 17 Pro Max,94.1912
iPhone 17 Pro Max,94.8624
iPhone 17 Pro Max,95.259
iPhone 17 Pro Max,96.5945
iPhone 17 Pro Max,94.1526
iPhone 17 Pro Max,93.9218
iPhone 17 Pro Max,94.9213
iPhone 17 Pro Max,93.0078
iPhone 17 Pro Max,95.7565
iPhone 17 Pro Max,95.1959
iPhone 17 Pro Max,92.4028
iPhone 17 Pro Max,93.8102
iPhone 17 Pro Max,93.8367
iPhone 17 Pro Max,94.6113
iPhone 17 Pro Max,92.6166
iPhone 17 Pro Max,95.4816
iPhone 17 Pro Max,94.0347
iPhone 17 Pro Max,93.4092
iPhone 17 Pro Max,93.854
iPhone 17 Pro Max,92.923
iPhone 17 Pro Max,92.8613
iPhone 17 Pro Max,94.0308
iPhone 17 Pro Max,94.6674
iPhone 17 Pro Max,93.7743
iPhone 17 Pro Max,95.5659
iPhone 17 Pro Max,94.5329
iPhone 17 Pro Max,93.0793
iPhone 17 Pro Max,94.6329
iPhone 17 Pro Max,93.3806
iPhone 17 Pro Max,94.2852
iPhone 17 Pro Max,92.7529
iPhone 17 Pro Max,96.4108
iPhone 17 Pro Max,94.9827
iPhone 17 Pro Max,95.0361
iPhone 17 Pro Max,95.741
iPhone 17 Pro Max,94.8373
iPhone 17 Pro Max,93.2662
iPhone 17 Pro Max,95.9847
iPhone 17 Pro Max,95.2205
iPhone 17 Pro Max,94.0105
iPhone 17 Pro Max,93.2505
iPhone 17 Pro Max,94.2293
iPhone 17 Pro Max,94.8733
iPhone 17 Pro Max,96.1162
iPhone 17 Pro Max,93.7403
iPhone 17 Pro Max,93.0478
iPhone 17 Pro Max,95.4911
iPhone 17 Pro Max,94.4839
iPhone 17 Pro Max,95.1302
iPhone 17 Pro Max,93.7672
iPhone 17 Pro Max,94.9004
iPhone 17 Pro Max,93.8684
iPhone 17 Pro Max,95.2072
iPhone 17 Pro Max,91.8314
iPhone 17 Pro Max,95.5205
iPhone 17 Pro Max,94.7012
iPhone 17 Pro Max,94.0663
iPhone 17 Pro Max,94.1057
iPhone 17 Pro Max,93.6481
iPhone 17 Pro Max,92.2209
iPhone 17 Pro Max,94.3878
iPhone 17 Pro Max,93.4365
iPhone 17 Pro Max,93.8877
iPhone 17 Pro Max,97.0072
iPhone 17 Pro Max,95.7994
iPhone 17 Pro Max,93.7996
iPhone 17 Pro Max,93.6248
iPhone 17 Pro Max,91.0615
iPhone 17 Pro Max,94.9444
iPhone 17 Pro Max,93.9045
iPhone 17 Pro Max,93.0046
iPhone 17 Pro Max,93.9967
iPhone 17 Pro Max,91.5249
iPhone 17 Pro Max,94.7167
iPhone 17 Pro Max,92.9657
iPhone 17 Pro Max,93.4841
iPhone 17 Pro Max,94.44
iPhone 17 Pro Max,94.4627
iPhone 17 Pro Max,95.2213
iPhone 17 Pro Max,93.4565
iPhone 17 Pro Max,93.4044
iPhone 17 Pro Max,94.6662
iPhone 17 Pro Max,93.571
iPhone 17 Pro Max,93.6362
iPhone 17 Pro Max,94.1562
iPhone 17 Pro Max,95.3685
iPhone 17 Pro Max,93.9105
iPhone 17 Pro Max,94.8838
iPhone 17 Pro Max,94.9364
iPhone 17 Pro Max,95.2315
iPhone 17 Pro Max,94.0466
iPhone 17 Pro Max,93.4654
iPhone 17 Pro Max,95.6949
iPhone 17 Pro Max,91.537
iPhone 17 Pro Max,96.5053
iPhone 17 Pro Max,91.5525
iPhone 17 Pro Max,95.2874
iPhone 17 Pro Max,95.3639
iPhone 17 Pro Max,95.3782
iPhone 17 Pro Max,92.892
iPhone 17 Pro Max,94.6535
iPhone 17 Pro Max,93.5133
iPhone 17 Pro Max,93.1238
iPhone 17 Pro Max,94.1067
iPhone 17 Pro Max,95.7672
iPhone 17 Pro Max,92.7015
iPhone 17 Pro Max,94.8013
iPhone 17 Pro Max,93.5193
iPhone 17 Pro Max,93.394
iPhone 17 Pro Max,93.7252
iPhone 17 Pro Max,94.0034
iPhone 17 Pro Max,93.4095
iPhone 17 Pro Max,93.0966
iPhone 17 Pro Max,93.2255
iPhone 17 Pro Max,95.129
iPhone 17 Pro Max,93.543
iPhone 17 Pro Max,94.4408
iPhone 17 Pro Max,92.6776
iPhone 17 Pro Max,93.9179
iPhone 17 Pro Max,93.8912
iPhone 17 Pro Max,92.5488
iPhone 17 Pro Max,94.9218
iPhone 17 Pro Max,93.919
iPhone 17 Pro Max,92.2285
iPhone 17 Pro Max,95.0099
iPhone 17 Pro Max,93.908
iPhone 17 Pro Max,94.9992
iPhone 17 Pro Max,94.2393
iPhone 17 Pro Max,93.1554
iPhone 17 Pro Max,92.9889
iPhone 17 Pro Max,94.6733
iPhone 17 Pro Max,94.585
iPhone 17 Pro Max,93.5279
iPhone 17 Pro Max,94.2919
iPhone 17 Pro Max,93.8963
iPhone 17 Pro Max,91.4592
iPhone 17 Pro Max,92.7312
iPhone 17 Pro Max,95.1221
iPhone 17 Pro Max,91.369
iPhone 17 Pro Max,93.6838
iPhone 17 Pro Max,95.8589
iPhone 17 Pro Max,93.4293
iPhone 17 Pro Max,93.1027
iPhone 17 Pro Max,91.2207
iPhone 17 Pro Max,95.6896
iPhone 17 Pro Max,93.3936
iPhone 17 Pro Max,94.0441
iPhone 17 Pro Max,94.508
iPhone 17 Pro Max,93.4114
iPhone 17 Pro Max,94.6499
iPhone 17 Pro Max,95.5533
iPhone 17 Pro Max,94.436
iPhone 17 Pro Max,94.6222
iPhone 17 Pro Max,93.7085
iPhone 17 Pro Max,94.8845
iPhone 17 Pro Max,93.9048
iPhone 17 Pro Max,94.9037
iPhone 17 Pro Max,93.4874
iPhone 17 Pro Max,94.4776
iPhone 17 Pro Max,95.0432
iPhone 17 Pro Max,94.3343
iPhone 17 Pro Max,94.1522
iPhone 17 Pro Max,94.4991
iPhone 17 Pro Max,93.9516
iPhone 17 Pro Max,94.334
iPhone 17 Pro Max,94.9084
iPhone 17 Pro Max,95.4431
iPhone 17 Pro Max,92.6055
iPhone 17 Pro Max,94.3028
iPhone 17 Pro Max,93.9537
iPhone 17 Pro Max,94.7115
iPhone 17 Pro Max,96.0886
iPhone 17 Pro Max,94.5875
iPhone 17 Pro Max,92.5924
iPhone 17 Pro Max,92.0314
iPhone 17 Pro Max,94.4035
iPhone 17 Pro Max,93.2674
iPhone 17 Pro Max,93.5078
iPhone 17 Pro Max,93.1672
iPhone 17 Pro Max,95.9882
iPhone 17 Pro Max,92.492
iPhone 17 Pro Max,93.7535
iPhone 17 Pro Max,93.8382
iPhone 17 Pro Max,95.0977
iPhone 17 Pro Max,94.8301
iPhone 17 Pro Max,94.3732
iPhone 17 Pro Max,94.2815
iPhone 17 Pro Max,94.8677
iPhone 17 Pro Max,94.9362
iPhone 17 Pro Max,95.2225
iPhone 17 Pro Max,94.7148
iPhone 17 Pro Max,94.8022
iPhone 17 Pro Max,96.7044
iPhone 17 Pro Max,92.7702
iPhone 17 Pro Max,95.7409
iPhone 17 Pro Max,94.5721
iPhone 17 Pro Max,93.5053
iPhone 17 Pro Max,93.889
iPhone 17 Pro Max,93.5967
iPhone 17 Pro Max,94.5847
iPhone 17 Pro Max,91.7922
iPhone 17 Pro Max,94.0081
iPhone 17 Pro Max,92.5497
iPhone 17 Pro Max,94.6281
iPhone 17 Pro Max,93.3064
iPhone 17 Pro Max,91.7494
iPhone 17 Pro Max,94.0964
iPhone 17 Pro Max,95.3205
iPhone 17 Pro Max,94.9713
