Mobile_Device,n_reviews,mean_satisfaction,median_satisfaction,std_satisfaction,mean_rating,mean_sentiment_score,Percentage_Positive,Percentage_Agreement,Percentage_5Star,Percentage_1Star,Bootstrap_Mean_Score,ci_upper_95,ci_upper_95,std_error,bias correction,satisfaction_rank
Google Pixel 10 Pro,330,92.8,99.63,19.5,4.73,0.92,92.73,96.97,83.64,2.12,92.85,94.76,94.76,1.0766,0.0455,2
Samsung Galaxy S26 Ultra,462,92.22,99.65,20.79,4.74,0.91,91.13,95.67,87.23,3.25,92.24,94.38,94.38,1.1389,0.0274,3
iPhone 17 Pro Max,331,94.27,99.77,18.68,4.8,0.93,93.96,97.28,89.43,2.72,94.31,96.13,96.13,1.0324,0.0382,1
